hotelMarsha,propertyName,city__state,localNumber,complexNumber,segmentNumber,largeGroupNumber
BOSWE,Residence Inn Boston Westborough,westborough__ma,5083667700,8668438976,8668657949,
BOSML,Courtyard Boston Milford,milford__ma,5086349500,8664798005,8662964373,
BOSWB,Courtyard Boston Woburn/Burlington,woburn__ma,7819323200,8668438975,8664479375,
BOSAV,SpringHill Suites Boston Andover,andover__ma,9786888200,8665493522,8888913737,
MHTCH,Courtyard Boston Andover,andover__ma,9787940700,8668448274,8775327969,
BOSLL,Courtyard Boston Lowell/Chelmsford,lowell__ma,9784587575,8664797899,8662692423,
BOSDV,Courtyard Boston Danvers,danvers__ma,9787778630,8664797459,8669023195,
BOSTD,TownePlace Suites Boston North Shore/Danvers,danvers__ma,9787776222,8664479374,8664479340,
BOSPB,Boston Marriott Peabody,peabody__ma,9789779700,8664479336,8668657379,
BOSFB,Courtyard Boston Foxborough/Mansfield,foxborough__ma,5085435222,8664797460,8775327970,
BOSNW,Courtyard Boston Norwood/Canton,norwood__ma,7817624700,8664464606,8665493521,
BOSST,Courtyard Boston Stoughton,stoughton__ma,7812977000,8664479371,8664797457,
BOSLW,Boston Marriott Long Wharf,boston__ma,6172270800,8664797965,8888919637,8446446472
BOSWH,W Boston,boston__ma,6172618700,,,
BOSWI,The Westin Copley Place,boston__ma,6172629600,,,
BOSCO,Boston Marriott Copley Place,boston__ma,6172365800,8664797429,8662768067,8774393082
BOSDM,Courtyard Boston Downtown,boston__ma,6174261400,8664797456,8662768068,
BOSCB,Boston Marriott Cambridge,cambridge__ma,6174946600,8665493535,8668438977,8774399429
BOSCM,Residence Inn Boston Cambridge,cambridge__ma,6173490700,8664797421,8663237476,
BOSQU,Boston Marriott Quincy,qincy__ma,6174721000,8664479369,8663237471,8774399424
BOSBO,Sheraton Boston Hotel,boston__ma,6172362000,,,
BOSAL,Aloft Boston Seaport,boston__ma,6175301600,,,
BOSEL,Element Boston Seaport,boston__ma,6175301700,,,
BOSOW,The Westin Boston Waterfront,boston__ma,6175324600,,,
BOSWF,Renaissance Boston Waterfront Hotel,boston__ma,6173384111,8662233602,8669023387,8774393084
PVDLW,Newport Marriott,newport__ri,4018491000,8668657229,8665139051,8774399416
PVDMD,Courtyard Newport Middletown,middletown__ri,4018498000,8668448296,8774399419,
BDLWD,Courtyard Hartford Windsor,windsor__ct,8606830022,8665493519,8662991097,
HVNWA,Courtyard New Haven Wallingford,wallingford__ct,2032849400,8668448252,8772833835,
BDRCT,Trumbull Marriott Merritt Parkway,trumbull__ct,2033781400,8662818742,8664797461,
DXRSH,SpringHill Suites Danbury,danbury__ct,2037447333,8668653975,8772833611,
HPNNW,Courtyard Norwalk,norwalk__ct,2038499111,8888914981,8888912302,
EWRHB,W Hoboken,hoboken__nj,2012532400,,,
EWRPS,Courtyard Parsippany,parsippany__nj,9733940303,8669023174,8888919644,
EWRPY,Residence Inn Parsippany,parsippany__nj,9739843313,8668630461,8888919646,
EWRSE,Courtyard Secaucus Meadowlands,secauscus__nj,2016178888,8668663849,8662768072,
EWRDT,Courtyard Newark Downtown,newark__nj,,8883730324,8774393081,
EWRAP,Newark Liberty International Airport Marriott,newark__nj,9736230006,8669021278,8775327980,8772186537
EWRCA,Courtyard Newark Liberty International Airport,newark__nj,9736438500,8668961515,8888914773,
EWREB,Residence Inn Newark Elizabeth/Liberty International Airport,elizabeth__nj,9083524300,8668992178,8888914779,
EWREZ,Courtyard Newark Elizabeth,elizabeth__nj,9084369800,8668999930,8888914787,
EWRNR,Renaissance Newark Airport Hotel,elizabeth__nj,9084364600,8662760374,8775327984,8772833717
EWRNW,Courtyard Jersey City Newport,jersey_city__nj,2016266600,8662654929,8888919641,
EWRWJ,The Westin Jersey City Newport,jersey_city__nj,2016262900,,,
EWRMW,Courtyard Mahwah,mahwah__nj,2015295200,8669022814,8888919582,
EWRCP,Courtyard Paramus,paramus__nj,2015991414,8662762213,8888914775,
EWRRB,Courtyard Lincroft Red Bank,red_bank__nj,7325305552,8668638482,8662768071,
EWRTC,Courtyard Tinton Falls Eatontown,tinton_falls__nj,7323892100,8668639070,8669012011,
SOSSM,Courtyard Basking Ridge,basking_ridge__nj,9085420300,8662565878,8665493527,
EWRNJ,Courtyard Hanover Whippany,whippany__nj,9738878700,8669022815,8888919592,
TTNRI,Residence Inn Cranbury South Brunswick,cranbury__nj,6093959447,8667661529,8888919134,
TTNDF,Princeton Marriott at Forrestal,princeton__nj,6094527800,8662768070,8668638484,8772834118
SOSBW,Bridgewater Marriott,bridgewater__nj,9089279300,8668647270,8662768069,
SOSLB,Courtyard Lebanon,lebanon__nj,9082368500,8668662725,8665493518,
SOSFT,Residence Inn Somerset,somerset__nj,7326270881,8667661530,8669022816,
NYCCE,Courtyard New York Manhattan/Chelsea,new_york__ny,2129676000,8772834018,8774399418,
NYCMS,Courtyard New York Manhattan/Herald Square,new_york__ny,2122394569,8883730317,8774399422,
NYCWD,W New York - Downtown,new_york__ny,6468268600,,,
NYCWS,New York Marriott Downtown,new_york__ny,2123854900,8663261850,8662992676,
NYCMT,Courtyard New York Manhattan/SoHo,new_york__ny,,8888919645,8888914295,
NYCES,Courtyard New York Manhattan/Fifth Avenue,new_york__ny,2124471500,8663087150,8888912504,
NYCEA,New York Marriott East Side,new_york__ny,2127554000,8663079650,8668658354,
NYCZW,The Westin New York Grand Central,new_york__ny,2124908900,,,
NYCSM,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,new_york__ny,2123912255,8883730315,8774393085,
NYCEX,JW Marriott Essex House New York,new_york__ny,2122470300,8883730319,8663173843,8775327974
NYCST,Sheraton New York Times Square Hotel,new_york__ny,2125811000,,,
NYCME,Courtyard New York Manhattan/Midtown East,new_york__ny,2126441300,8663178777,8888913465,
NYCAK,"The Algonquin Hotel Times Square, Autograph Collection",new_york__ny,2128406800,8446446471,8446446471,
NYCMQ,New York Marriott Marquis,new_york__ny,2123981900,8664796425,8888919643,8774399423
NYCRT,Renaissance New York Times Square Hotel,new_york__ny,2127657676,8663230591,8888919650,
NYCSW,The Westin New York at Times Square,new_york__ny,2122012700,,,
NYCWH,W New York - Times Square,new_york__ny,2129307400,,,
HPNRY,Courtyard Rye,rye__ny,9149211110,8662981470,8888913303,
HPNGR,Courtyard Tarrytown Greenburgh,tarrytown__ny,9146311122,8662726264,8888919230,
NYCWE,Westchester Marriott,tarrytown__ny,9146312200,8663239759,8888913653,
NYCBK,New York Marriott at the Brooklyn Bridge,brooklyn__ny,7182467000,8663079071,8668658220,8774393079
NYCLI,Long Island Marriott,uniondale__ny,5167943800,8663089231,8668658486,
ISPRI,Residence Inn Long Island Hauppauge/Islandia,hauppauge__ny,6317244188,8888914983,8888913522,
FHKNY,Courtyard Fishkill,fishkill__ny,8458972400,8662703941,8888919220,
POUCH,Courtyard Poughkeepsie,poughkeepsie__ny,8454856336,8663524689,8888914423,
POURI,Residence Inn Poughkeepsie,poughkeepsie__ny,8454634343,8663533153,8888914513,
SYRSH,SpringHill Suites Syracuse Carrier Circle,dewitt__ny,3154370056,8888914008,8888914562,
SYRCA,Courtyard Syracuse Carrier Circle,east_syracuse__ny,3154320300,8888913899,8888914514,
SYRFE,Fairfield Inn & Suites Syracuse Carrier Circle,east_syracuse__ny,3154332777,8772186533,8772186535,
SYRRI,Residence Inn Syracuse Carrier Circle,east_syracuse__ny,3154324488,8888913997,8888914516,
PITCA,Courtyard Pittsburgh Airport,coraopolis__pa,4122645000,8665139533,8888918819,
PITWI,"The Westin Convention Center, Pittsburgh",pittsburgh__pa,4122813700,,,
ABECY,Courtyard Allentown Bethlehem/Lehigh Valley Airport,bethlehem__pa,6103176200,8663237332,8663226966,
ABERI,Residence Inn Allentown Bethlehem/Lehigh Valley Airport,bethlehem__pa,6103172662,8663237369,8888914982,
PHLRW,Residence Inn Philadelphia Willow Grove,horsham__pa,2154437330,8669023198,8888919039,
PHLDV,Courtyard Philadelphia Devon,devon__pa,6106876633,8669023194,8888914049,
PHLVA,Courtyard Philadelphia Valley Forge/King of Prussia,wayne__pa,6106876700,8669024497,8888919138,
PHLWG,Courtyard Philadelphia Willow Grove,willow_grove__pa,2158300550,8665139173,8888919221,
PHLWL,SpringHill Suites Philadelphia Willow Grove,willow_grove__pa,2156577800,8665139532,8888918805,
PHLDC,Courtyard Philadelphia Downtown,philadelphia__pa,2154963200,8669023192,8668999978,8774399417
PHLDT,Philadelphia Marriott Downtown,philadelphia__pa,2156252900,8669023193,8669017491,8772186536
PHLRI,Residence Inn Philadelphia Center City,philadelphia__pa,2155570005,8669023197,8888918818,
PHLCS,Courtyard Philadelphia South at The Navy Yard,philadelphia__pa,2156449200,8772833680,8772834120,
PHLAR,Philadelphia Airport Marriott,philadelphia__pa,2154929000,8663237477,8888919589,
PHLAT,Courtyard Philadelphia Airport,philadelphia__pa,2153652200,8663237479,8888913990,
PHLBW,Residence Inn Philadelphia Valley Forge,berwyn__pa,6106409494,8663237480,8888914002,
PHLWE,Philadelphia Marriott West,west_conshohocken__pa,6109415600,8665139172,8664463108,
PHLLD,Courtyard Philadelphia Lansdale,kulpsville__pa,2154128686,8775327968,8668448287,
PHLCY,Courtyard Philadelphia Plymouth Meeting,plymouth_meeting__pa,6102380695,8669023191,8888914010,
PHLPY,SpringHill Suites Philadelphia Plymouth Meeting,plymouth_meeting__pa,6109400400,8669023196,8888918801,
ILGWC,Courtyard Wilmington Newark/Christiana Mall,newark__de,3024563800,8663237472,8888914050,
ILGCY,Courtyard Wilmington Downtown,wilmington__de,3024297600,8663237425,8888914046,
WASCO,"Marriott Marquis Washington, DC",washington__dc,,8668875128,8446432194,8662287712
WASRB,"Renaissance Washington, DC Downtown Hotel",washington__dc,2028989000,8663989027,8446456287,8775477471
WASUS,"Courtyard Washington, DC/U.S. Capitol",washington__dc,8004408027,8663930140,8778962823,
WASJW,"JW Marriott Washington, DC",washington__dc,2023932000,8663985203,8446456255,8775477457
WASWH,W Washington D.C.,washington__dc,2026612400,,,
WASDC,"Residence Inn Washington, DC Downtown",washington__dc,2028981100,8664813299,8665884125,
WASMC,Washington Marriott at Metro Center,washington__dc,2027372200,8663985207,8446432189,8778925315
WASDT,Washington Marriott Wardman Park,washington__dc,2023282000,8664813302,8446432195,8775477417
WASAK,"The Mayflower Hotel, Autograph Collection",washington__dc,2023473000,8007989197,8446432191,8778925318
WASTW,"The Westin Georgetown, Washington D.C.",washington__dc,2024290100,,,
WASWE,Washington Marriott Georgetown,washington__dc,2028721500,8669021270,8446432192,8778925319
WASFB,"Courtyard Washington, DC/Foggy Bottom",washington__dc,,8007980153,8669214474,
WASCV,SpringHill Suites Centreville Chantilly,centreville__va,7038157800,8668831922,8447449482,
IADCA,Courtyard Dulles Airport Chantilly,chantilly__va,7037097100,8664878410,8446809167,
IADFX,Residence Inn Chantilly Dulles South,chantilly__va,7032637900,8665425541,8446809172,
IADTS,TownePlace Suites Chantilly Dulles South,chantilly__va,7037090453,8007988092,8447449479,
IADWF,Westfields Marriott Washington Dulles,chantilly__va,7038180300,8665425594,8447449486,8778962844
IADAP,Washington Dulles Airport Marriott,dulles__va,7034719500,8664878408,8447449485,8778962816
IADFI,Fairfield Inn & Suites Dulles Airport,dulles__va,7034355300,8664878704,8446809169,
IADRI,Residence Inn Dulles Airport at Dulles 28 Centre,dulles__va,7034212000,8665425589,8446809174,
IADTC,Courtyard Dulles Town Center,dulles__va,5714346400,8665425593,8447449478,
IADHC,Courtyard Herndon Reston,herndon__va,7034789400,8665425582,8446809173,
IADSH,SpringHill Suites Herndon Reston,herndon__va,7034353100,8665425590,8447449457,
BWIFM,Courtyard Fort Meade BWI Business District,annapolis_junction__md,3014988400,8663931001,8446456558,
WASGN,Gaylord National Resort & Convention Center,national_harbor__md,3019654000,8668831466,,8664878406
WASNH,"Residence Inn National Harbor Washington, DC Area",national_harbor__md,3017494755,8668864445,8446525211,
WASWA,"AC Hotel National Harbor Washington, DC Area",national_harbor__md,4433212500,8663930998,8448456582,
WASGB,Greenbelt Marriott,greenbelt__md,3014413700,8664813307,8446779747,8778925349
WASGR,Courtyard Greenbelt,greenbelt__md,3014413311,8664813308,8446525207,
WASUM,College Park Marriott Hotel & Conference Center,adelphi__md,3019857300,8669021269,8446779749,8778962801
WASLD,Courtyard New Carrollton Landover,landover__md,3015773373,8663985205,8446525209,
WASBR,Residence Inn Bethesda Downtown,bethesda__md,3017180200,8668823623,8446525079,
WASBT,Bethesda Marriott,bethesda__md,3018979400,8668826591,8446779746,8778925321
WASSB,Bethesda Marriott Suites,bethesda__md,3018975600,8668768024,8446779748,
WASRV,Courtyard Rockville,rockville__md,3016706700,8668761017,8446525212,
WASBN,Bethesda North Marriott Hotel & Conference Center,bethesda__md,3018229200,8668822093,8446779745,8778925320
WASCG,Courtyard Gaithersburg Washingtonian Center,gaithersburg__md,3015279000,8668830943,8446525084,
WASGT,SpringHill Suites Gaithersburg,gaithersburg__md,3019870900,8664813309,8446525208,
WASWG,Gaithersburg Marriott Washingtonian Center,gaithersburg__md,3015900044,8669021273,8446779750,8778962811
WASLV,Residence Inn Silver Spring,silver_spring__md,3015722322,8663985206,8446525210,
WASSS,Courtyard Silver Spring North,silver_spring__md,3016808500,8668768784,8446525213,
BWIHU,Courtyard Baltimore Hunt Valley,hunt_valley__md,4105847070,8662661731,8446456559,
BWICB,Residence Inn Columbia,ellicott_city__md,4109977200,8662464133,8446456556,
BWICL,Courtyard Columbia,columbia__md,4102900002,8662465495,8446456557,
BWICA,Courtyard Baltimore BWI Airport,linthicum__md,4108598855,8662458880,8446456555,
BWIRI,Residence Inn Baltimore BWI Airport,linthicum__md,4106910255,8662666041,8446456562,
BWIIH,Baltimore Marriott Inner Harbor at Camden Yards,baltimore__md,4109620202,8662662740,8665425585,8669210004
BWIIS,Sheraton Inner Harbor Hotel,baltimore__md,4109628300,,,
BWISH,Renaissance Baltimore Harborplace Hotel,baltimore__md,4105471200,8662671684,8665137373,8664069352
BWIWF,Baltimore Marriott Waterfront,baltimore__md,4103853000,8662671685,8663931002,8664069353
BWIBU,Towson University Marriott Conference Hotel,towson__md,4103248100,8662458047,8664878702,
BWIAP,BWI Airport Marriott,baltimore__md,4108598300,8662454797,8665884116,8664069532
BWIAN,Courtyard Annapolis,annapolis__md,4102661555,8662454605,8446456554,
BWIRA,Residence Inn Annapolis,annapolis__md,4105730300,8662664020,8446456560,
IADFO,Courtyard Fairfax Fair Oaks,fairfax__va,7032736161,8665425540,8446809171,
IADRF,Residence Inn Fairfax City,fairfax__va,,8665137602,8663989025,
IADFL,Residence Inn Fair Lakes Fairfax,fairfax__va,7032664900,8665425535,8446809170,
IADXM,Residence Inn Fairfax Merrifield,falls_church__va,7035735200,8663661150,8447449480,
WASFP,Falls Church Marriott Fairview Park,falls_church__va,7038499400,8664813305,8448237332,8778962846
WASTS,TownePlace Suites Falls Church,falls_church__va,7032376172,8007988552,8447449483,
IADCY,Courtyard Dunn Loring Fairfax,vienna__va,7035739555,8664878698,8446809168,
WASTC,Tysons Corner Marriott,vienna__va,7037343200,8669021268,8448237666,8778962854
WASCC,Crystal City Marriott at Reagan National Airport,arlington__va,7034135500,8668829146,8778962799,8775477472
WASCT,Courtyard Arlington Crystal City/Reagan National Airport,arlington__va,7035493434,8668831467,8664069931,
WASGW,Crystal Gateway Marriott,arlington__va,7039203230,8663981324,8446432196,8775477418
WASPT,Residence Inn Arlington Pentagon City,arlington__va,7034136630,8663989026,8664399822,
WASPY,Renaissance Arlington Capital View Hotel,arlington__va,7034131300,8668870920,8446432193,8662241543
WASRY,Residence Inn Arlington Capital View,arlington__va,7034151300,8668870940,8669215190,
WASAR,Courtyard Arlington Rosslyn,arlington__va,7035282222,8668821655,8663717481,
WASKB,Key Bridge Marriott,arlington__va,7035246400,8663985204,8446432177,8778925310
WASAL,Courtyard Alexandria Old Town/Southwest,alexandria__va,7033292323,8665884126,8664878703,
WASDK,Residence Inn Alexandria Old Town/Duke Street,alexandria__va,7035485474,8664813301,8663930318,
WASVA,SpringHill Suites Alexandria Old Town/Southwest,alexandria__va,7033170013,8668862830,8668868169,
CHOCH,Courtyard Charlottesville North,charlottesville__va,4349737100,8663861772,8448237725,
CHORI,Residence Inn Charlottesville,charlottesville__va,4349230300,8663873968,8448237727,
RICTS,TownePlace Suites Richmond,glen_allen__va,8047475253,8665716147,8448369995,
PHFWB,Courtyard Williamsburg Busch Gardens Area,williamsburg__va,7572210700,8663708195,8448358932,
RICWE,Courtyard Richmond West,richmond__va,8042821881,8665884117,8448369996,
RICNW,Courtyard Richmond Northwest/Short Pump,richmond__va,8043465427,8665884012,8448369994,
ORFTS,TownePlace Suites Virginia Beach,virginia_beach__va,7574909367,8665687404,8448358928,
ORFVB,Courtyard Virginia Beach Norfolk,virginia_beach__va,7574902002,8007989684,8448358929,
PHFCH,Courtyard Hampton,hampton__va,7578383300,8663704988,8448358930,
PHFTS,TownePlace Suites Newport News Yorktown,yorktown__va,7578748884,8665714207,8448358931,
CRWWV,Charleston Marriott Town Center,charleston__wv,3043533722,8007987714,8446809166,8669214866
CRWRI,Residence Inn Charleston,charleston__wv,3043454200,8663931006,8448237845,
GSOWN,Courtyard Greensboro,greensboro__nc,3362943800,8664878407,8448358914,
RDUCA,Courtyard Raleigh Cary,cary__nc,9194819666,8663708197,8448369987,
RDURY,Residence Inn Raleigh Cary,cary__nc,9194674080,8665883682,8448369991,
RDUAP,Residence Inn Raleigh-Durham Airport/Morrisville,morrisville__nc,9194678689,8663708196,8448358933,
RDURD,Courtyard Raleigh-Durham Airport/Morrisville,morrisville__nc,9194679444,8663729567,8448369989,
RDUWF,Courtyard Raleigh Midtown,raleigh__nc,9198213400,8665883747,8448369993,
